'sound$','word$','test$','tran$','timeLab','f1','f2','f3',f3f2
RealWordRep_004L44FS3,water,Test47,w,631.773363,908.1268639,1352.206172,3404.971745,2052.765573
RealWordRep_004L44FS3,wind,Test48,w,634.7791566,839.2770892,2526.112554,4298.41547,1772.302916
RealWordRep_004L44FS3,raisins,Test51,r,649.7943135,1091.045845,2406.118219,3963.708653,1557.590435
RealWordRep_004L44FS3,walk,Test63,w,724.9633152,577.3175841,1102.467745,3208.130944,2105.663198
RealWordRep_004L44FS3,window,Test68,w,763.6748487,750.071482,2048.809623,3762.705553,1713.89593
RealWordRep_004L44FS3,rock,Test77,r,861.5394954,670.8848209,2184.728818,3749.929839,1565.201021
RealWordRep_004L44FS3,wet,Test81,w,923.3443973,914.7748954,1588.884659,3261.933693,1673.049034
RealWordRep_004L44FS3,red,Test82,$w:r,926.9643548,1425.58753,3252.516879,4147.043613,894.5267339
RealWordRep_004L44FS3,web,Test85,w,941.1791413,595.7918403,1309.010675,3151.520678,1842.510003
RealWordRep_004L44FS3,rabbit,Test90,r:$w,996.8017244,766.6293088,2290.971969,3941.257551,1650.285582
RealWordRep_006L40FS3,wet,Test6,w:$r,167.0899518,511.7371154,2057.287976,3781.402864,1724.114888
RealWordRep_006L40FS3,web,Test9,w:$r,186.7879873,557.6044406,2347.431861,3706.772412,1359.340551
RealWordRep_006L40FS3,red,Test10,$w:r,192.7094297,526.0116929,2540.079107,4005.944461,1465.865354
RealWordRep_006L40FS3,rabbit,Test14,$other,238.6268418,603.6754309,2055.995664,4149.806601,2093.810937
RealWordRep_006L40FS3,rock,Test16,$w:r,273.9384702,445.4865676,1784.003507,3378.256862,1594.253355
RealWordRep_006L40FS3,watch,Test17,w,279.309995,517.071324,2274.795852,3565.647541,1290.851689
RealWordRep_006L40FS3,wind,Test18,w,286.1625142,467.7818324,2338.957215,3676.10474,1337.147526
RealWordRep_006L40FS3,walk,Test21,w:$r,425.9318582,1365.234668,2777.271982,4390.502589,1613.230607
RealWordRep_006L40FS3,reading,Test22,$w:r,457.196416,776.1544454,1010.651427,3145.448802,2134.797375
RealWordRep_006L40FS3,water,Test32,w:$r,523.7750601,408.1760253,1540.416945,3791.545267,2251.128322
RealWordRep_006L40FS3,rain,Test36,$w:r,632.7502769,762.4742183,2825.605974,4622.995145,1797.389171
RealWordRep_006L40FS3,rocking,Test48,$w:r,711.134894,353.2690658,1930.898139,3398.498453,1467.600314
RealWordRep_006L40FS3,raisins,Test50,$w,719.2371128,522.1008817,2340.877021,4111.046494,1770.169473
RealWordRep_006L40FS3,washer,Test52,w:$r,744.5864418,427.8054561,1498.75836,3271.250218,1772.491859
RealWordRep_006L40FS3,waiting,Test54,w,756.2038359,2060.377427,3044.944096,4753.881924,1708.937827
RealWordRep_006L40FS3,running,Test64,$w,809.743547,371.7498837,1882.378984,3588.896511,1706.517526
RealWordRep_006L40FS3,wheel,Test65,w,813.8798779,757.5676143,2541.30357,3769.191002,1227.887432
RealWordRep_006L40FS3,ring,Test69,$w:r,862.4318412,369.6645707,2022.867027,3351.025209,1328.158181
RealWordRep_006L40FS3,web,Test77,w,929.3948081,744.5538147,2062.998638,3747.589117,1684.590478
RealWordRep_006L40FS3,wet,Test79,w:$r,939.7489978,1253.503471,2398.833135,3897.428422,1498.595287
RealWordRep_006L40FS3,rock,Test82,$w:r,966.2104049,431.73411,962.7892386,3302.276509,2339.48727
RealWordRep_006L40FS3,red,Test87,$w:r,986.7473384,391.9427346,2309.602125,3957.256005,1647.65388
RealWordRep_006L40FS3,rabbit,Test88,$w:r,990.6594068,555.3623118,2711.350336,3662.131746,950.7814097
RealWordRep_007L44FS3,red,Test3,$w:r,104.0864582,623.105347,2053.578554,3373.751893,1320.173339
RealWordRep_007L44FS3,rock,Test5,$w,112.8131662,433.364816,2382.853274,2699.252328,316.3990541
RealWordRep_007L44FS3,web,Test6,w:$r,120.6513302,535.0793254,1472.022877,3500.450963,2028.428086
RealWordRep_007L44FS3,wet,Test7,w,124.409415,550.7086701,981.1031772,3522.929408,2541.82623
RealWordRep_007L44FS3,rabbit,Test11,$w,140.8242702,710.9931223,1853.467243,3377.551444,1524.084201
RealWordRep_007L44FS3,reading,Test23,$w,219.4762394,395.6060026,1726.993109,3348.837062,1621.843953
RealWordRep_007L44FS3,ring,Test25,$w,227.6295353,327.0788407,1561.657715,3329.482256,1767.824541
RealWordRep_007L44FS3,wind,Test36,w,305.9509078,583.4119839,2319.890473,3688.371496,1368.481023
RealWordRep_007L44FS3,washer,Test37,w,319.6644879,354.6705979,2486.268427,3906.265085,1419.996658
RealWordRep_007L44FS3,water,Test41,w,348.9061421,836.5937845,1811.331292,3464.484022,1653.152729
RealWordRep_007L44FS3,walk,Test48,w,377.5831767,537.8027913,1619.958109,3625.175958,2005.217849
RealWordRep_007L44FS3,rain,Test49,$w,381.6065855,536.9904657,1808.796951,4150.903083,2342.106131
RealWordRep_007L44FS3,watch,Test53,w:$r,403.0585339,554.0747554,2065.137504,3155.072654,1089.93515
RealWordRep_007L44FS3,wheel,Test54,w,462.1644369,448.1842014,2257.410227,3927.836645,1670.426418
RealWordRep_007L44FS3,running,Test55,$w,468.7068863,689.714992,2282.707553,3443.168999,1160.461446
RealWordRep_007L44FS3,window,Test58,w,480.5375875,363.2188442,1596.925934,3454.387873,1857.461939
RealWordRep_007L44FS3,waiting,Test60,w,488.2945156,442.4120486,1950.943388,3726.523499,1775.580111
RealWordRep_007L44FS3,raisins,Test66,$w,517.0720465,500.4647626,1805.141692,3719.981949,1914.840257
RealWordRep_007L44FS3,rocking,Test74,$w,588.9857931,616.6127126,2591.58991,4170.535727,1578.945816
RealWordRep_007L44FS3,wet,Test78,w,604.7921792,1348.829808,3224.512851,3932.505481,707.9926296
RealWordRep_007L44FS3,rabbit,Test80,$w:r,612.5152914,791.9110328,1734.514854,3261.230304,1526.71545
RealWordRep_007L44FS3,rock,Test82,$w,619.3924422,278.6472641,2161.763028,3060.28976,898.5267326
RealWordRep_007L44FS3,web,Test84,w:$r,626.6502708,1355.889175,2416.835684,3203.349429,786.5137458
RealWordRep_007L44FS3,red,Test88,$w:r,641.1115013,1759.095254,3505.850553,4730.808935,1224.958383
RealWordRep_008L42MS3,rabbit,Test1,$w,367.6766784,1038.797576,1497.792941,3541.96806,2044.175119
RealWordRep_008L42MS3,wet,Test2,w,372.3741943,806.5035777,1644.798255,3942.565908,2297.767653
RealWordRep_008L42MS3,web,Test4,TranscribeMe!,383.6428355,1095.432611,3033.251407,3779.212088,745.9606809
RealWordRep_008L42MS3,rock,Test11,$w,472.2705627,1079.016635,1995.250023,3431.697095,1436.447071
RealWordRep_008L42MS3,red,Test16,$w,531.3899196,1080.433121,2504.494007,3713.030667,1208.53666
RealWordRep_008L42MS3,water,Test17,w,536.92507,1187.224705,2769.233077,3598.062199,828.8291219
RealWordRep_008L42MS3,window,Test23,$other,569.0699705,978.9656381,2346.506749,3757.241881,1410.735132
RealWordRep_008L42MS3,waiting,Test29,w,603.2342364,1032.872756,2164.524551,4065.583508,1901.058957
RealWordRep_008L42MS3,washer,Test32,w,622.8222031,1148.824821,2710.143599,4271.315889,1561.17229
RealWordRep_008L42MS3,watch,Test37,w,704.6662883,1886.095707,2924.284422,4551.847734,1627.563312
RealWordRep_008L42MS3,wind,Test42,w,735.4417312,771.7631451,2156.060893,3787.199684,1631.138791
RealWordRep_008L42MS3,reading,Test43,r:$w,739.6483892,1330.75578,2074.029695,4024.016119,1949.986425
RealWordRep_008L42MS3,rain,Test58,$w,830.3919691,1170.34704,2730.94131,4040.238276,1309.296966
RealWordRep_008L42MS3,rocking,Test61,$w,841.0467964,740.9712634,2260.663263,3343.122681,1082.459419
RealWordRep_008L42MS3,running,Test63,$w,850.7917185,1242.040051,2705.762864,4141.761748,1435.998884
RealWordRep_008L42MS3,wheel,Test68,w,868.0684076,908.373546,2086.449395,3674.320582,1587.871186
RealWordRep_008L42MS3,walk,Test69,w,871.3590975,843.9259854,2521.097006,3434.178329,913.0813237
RealWordRep_008L42MS3,ring,Test71,$w,935.2312801,871.7208948,1798.611265,3257.143934,1458.532669
