barename,spkr,age_mos,gender,phones,word,session,t1,t2_ph,transcription,target,testnumber,onset_f1_ifc,onset_f1,onset_f1_ac,qrtr_f1_ifc,qrtr_f1,qrtr_f1_ac,midpt_f1_ifc,midpt_f1,midpt_f1_ac,thrqrtr_f1_ifc,thrqrtr_f1,thrqrtr_f1_ac,endpt_f1_ifc,endpt_f1,endpt_f1_ac,onset_f2_ifc,onset_f2,onset_f2_ac,qrtr_f2_ifc,qrtr_f2,qrtr_f2_ac,midpt_f2_ifc,midpt_f2,midpt_f2_ac,thrqrtr_f2_ifc,thrqrtr_f2,thrqrtr_f2_ac,endpt_f2_ifc,endpt_f2,endpt_f2_ac,onset_f3_ifc,onset_f3,onset_f3_ac,qrtr_f3_ifc,qrtr_f3,qrtr_f3_ac,midpt_f3_ifc,midpt_f3,midpt_f3_ac,thrqrtr_f3_ifc,thrqrtr_f3,thrqrtr_f3_ac,endpt_f3_ifc,endpt_f3,endpt_f3_ac,f0,onset_sec,qrtr_sec,midpt_sec,thrqrtr_sec,endpt_sec,onset_sec_ifc,qrtr_sec_ifc,midpt_sec_ifc,thrqrtr_sec_ifc,endpt_sec_ifc,onset_sec_ac,qrtr_sec_ac,midpt_sec_ac,thrqrtr_sec_ac,endpt_sec_ac,f1_onset_med,f1_qrtr_med,f1_midpt_med,f1_thrqrtr_med,f1_endpt_med,f2_onset_med,f2_qrtr_med,f2_midpt_med,f2_thrqrtr_med,f2_endpt_med,f3_onset_med,f3_qrtr_med,f3_midpt_med,f3_thrqrtr_med,f3_endpt_med,
030_49_child_FS_4_washer_Test_46_w_4_w,30,49,FS,UW1,washer,4,0.095,0.17,w,w,46,670,583.1608201,592.1914147,783.5,612.5079422,623.9302253,835.3,870.1110271,843.2370875,871.7,831.0640652,828.5844632,1045.4,856.1876385,869.518426,1071.8,910.7619464,895.0756505,1207.7,1049.210689,1057.18129,1431.5,1364.885093,1032.92398,1461.4,1420.715316,1409.739196,1487.1,1422.134987,1418.894941,3069.2,4269.495468,4285.25803,2943.2,4244.073597,4157.096361,2967,3807.057193,3806.878327,2935,3954.354976,3930.755563,3003.3,3884.246625,3947.5048,0,0.1025,0.1125,0.1325,0.1525,0.1625,0.095,0.115,0.135,0.155,0.175,0.10449,0.11449,0.13449,0.15449,0.16449,592.1914147,623.9302253,843.2370875,831.0640652,869.518426,910.7619464,1057.18129,1364.885093,1420.715316,1422.134987,4269.495468,4157.096361,3806.878327,3930.755563,3884.246625,
030_49_child_FS_4_watch_Test_44_w_4_w,30,49,FS,UW1,watch,4,0.095,0.17,w,w,44,654.7,672.3405937,636.0783423,670.3,522.1922482,534.0037886,726.5,621.854827,632.9682636,668.5,678.0680278,679.8813881,801.6,664.457,662.2836199,2261.1,2350.166585,2376.951911,1119.7,773.2944049,784.3305839,1254.1,855.0139065,875.1254781,1205.8,1214.255822,1226.840019,1336.5,1224.475464,1219.052366,3437.3,4353.780495,4293.429054,3028.5,4381.280361,4393.982548,3013.3,4208.330865,4188.290983,3062.9,3637.438799,3735.845168,3343.8,4011.744836,4026.936982,0,0.1025,0.1125,0.1325,0.1525,0.1625,0.095,0.115,0.135,0.155,0.175,0.10449,0.11449,0.13449,0.15449,0.16449,654.7,534.0037886,632.9682636,678.0680278,664.457,2350.166585,784.3305839,875.1254781,1214.255822,1224.475464,4293.429054,4381.280361,4188.290983,3637.438799,4011.744836,
030_49_child_FS_4_water_Test_34_w_4_w,30,49,FS,UW1,water,4,0.095,0.17,w,w,34,549.6,550.9454129,558.0667667,589.2,463.9203137,480.2957801,759.7,619.3668966,634.0990552,754.1,750.0682682,746.878374,1020.5,741.9064919,742.7137971,2198.3,2425.199017,2430.994676,1109.1,2289.184478,2226.039079,1272.9,985.1742885,1000.972197,1454.7,1301.520591,1292.486116,1662.9,1415.999893,1432.229226,3267.6,4320.186254,4306.255999,3271.7,3541.796419,3503.417644,3185.6,3940.32943,4037.912266,2675.2,3876.886706,3898.722875,3505.5,3865.75752,3893.643432,0,0.1025,0.1125,0.1325,0.1525,0.1625,0.095,0.115,0.135,0.155,0.175,0.10449,0.11449,0.13449,0.15449,0.16449,550.9454129,480.2957801,634.0990552,750.0682682,742.7137971,2425.199017,2226.039079,1000.972197,1301.520591,1432.229226,4306.255999,3503.417644,3940.32943,3876.886706,3865.75752,
030_49_child_FS_4_web_Test_5_w_4_w,30,49,FS,UW1,web,4,0.095,0.17,w,w,5,612.1,663.9391747,665.8778628,539,649.9308944,632.2324414,502.2,456.2545362,472.6659251,503.3,480.9877973,479.4269191,691.1,505.7275373,502.4537282,2185.2,2278.863214,2258.509157,1996.5,2386.242718,2425.543961,922.4,2922.626918,2999.144048,1085.4,2803.706079,802.7070453,1458.7,1054.149008,1052.462189,3387.3,3476.590705,3493.054667,3280.8,3426.191912,3373.413939,3032.3,4182.104004,4233.819632,3062.6,3818.710641,3777.28598,2117,3827.923302,3767.951037,0,0.1025,0.1125,0.1325,0.1525,0.1625,0.095,0.115,0.135,0.155,0.175,0.10449,0.11449,0.13449,0.15449,0.16449,663.9391747,632.2324414,472.6659251,480.9877973,505.7275373,2258.509157,2386.242718,2922.626918,1085.4,1054.149008,3476.590705,3373.413939,4182.104004,3777.28598,3767.951037,
030_49_child_FS_4_web_Test_82_w_4_w,30,49,FS,UW1,web,4,0.095,0.17,w,w,82,713.2,631.1854735,645.66173,814.6,535.5614818,573.1793205,811.3,775.6058333,791.3850984,824.6,788.1207115,801.9263669,889.8,789.3468635,812.7624327,1310.3,1325.873207,1317.887966,1628.6,1420.697716,1387.486055,1737.7,1668.327565,1938.683459,2053,2169.410095,2179.660633,1919.3,2180.839142,2205.543443,2934.3,4213.657874,4156.06228,1965.5,3828.326124,3844.8792,2168,3916.311553,3935.321556,2521.2,3894.074858,3904.088404,2638.3,3917.770756,3964.715665,296.6,0.1025,0.1125,0.1325,0.1525,0.1625,0.095,0.115,0.135,0.155,0.175,0.10449,0.11449,0.13449,0.15449,0.16449,645.66173,573.1793205,791.3850984,801.9263669,812.7624327,1317.887966,1420.697716,1737.7,2169.410095,2180.839142,4156.06228,3828.326124,3916.311553,3894.074858,3917.770756,
030_49_child_FS_4_wet_Test_10_w_4_w,30,49,FS,UW1,wet,4,0.095,0.17,w,w,10,680.2,439.0128219,465.3003838,660.3,487.0724203,500.0773506,729.2,723.4362709,720.8119793,828.9,713.5047847,720.5510947,952.9,744.20614,756.786527,2139.8,832.613083,845.1627986,1014.7,893.8662844,893.8825196,1307.3,1101.87383,1084.385068,1801.1,1737.356028,1730.963601,1878.9,1863.759969,1854.470853,3353.9,3691.381807,2421.232929,2950.3,3919.504835,2915.055423,2609.4,4281.608449,4203.836763,1958.7,3934.478442,4054.429928,2493.3,3999.707577,4015.653956,0,0.1025,0.1125,0.1325,0.1525,0.1625,0.095,0.115,0.135,0.155,0.175,0.10449,0.11449,0.13449,0.15449,0.16449,465.3003838,500.0773506,723.4362709,720.5510947,756.786527,845.1627986,893.8825196,1101.87383,1737.356028,1863.759969,3353.9,2950.3,4203.836763,3934.478442,3999.707577,
030_49_child_FS_4_wet_Test_80_w_4_w,30,49,FS,UW1,wet,4,0.095,0.17,w,w,80,709.9,648.7409088,655.0555734,734.8,708.927085,707.7815495,776,720.5106378,716.0535097,939.5,794.643506,811.08129,1021.5,908.0976912,923.7424963,1273.3,1222.66655,1231.394411,1522.5,1357.978935,1331.881626,1828.1,1610.300354,1642.997474,2011.9,1945.665043,1963.034574,2052.3,2022.896125,2050.965245,3046.2,3629.750118,3691.977353,2507.6,3692.996108,3732.615483,2286.5,3769.047947,3783.658126,3396.4,3758.206998,3771.062327,2730.9,3768.670672,3767.662096,0,0.1025,0.1125,0.1325,0.1525,0.1625,0.095,0.115,0.135,0.155,0.175,0.10449,0.11449,0.13449,0.15449,0.16449,655.0555734,708.927085,720.5106378,811.08129,923.7424963,1231.394411,1357.978935,1642.997474,1963.034574,2050.965245,3629.750118,3692.996108,3769.047947,3758.206998,3767.662096,
030_49_child_FS_4_wheel_Test_73_w_4_w,30,49,FS,UW1,wheel,4,0.095,0.17,w,w,73,471.4,368.5241796,382.7389275,553.1,353.4869984,370.2531615,546.7,365.3185728,384.3566324,491.5,348.8795013,368.1609299,480.2,349.6642074,367.2458356,1853.9,1833.271772,1808.684838,2087.4,1894.623225,1891.671793,2194.3,2207.065629,2246.609303,1776.1,2279.24774,2240.276005,2008.1,2215.867293,3603.041386,3214.2,3321.428204,4250.833914,3217.4,3415.761198,4161.353627,3622.3,3795.638559,3823.971084,3418.7,3815.109988,3828.23159,3571.3,3817.92257,3932.236344,0,0.1025,0.1125,0.1325,0.1525,0.1625,0.095,0.115,0.135,0.155,0.175,0.10449,0.11449,0.13449,0.15449,0.16449,382.7389275,370.2531615,384.3566324,368.1609299,367.2458356,1833.271772,1894.623225,2207.065629,2240.276005,2215.867293,3321.428204,3415.761198,3795.638559,3815.109988,3817.92257,
030_49_child_FS_4_wind_Test_49_w_4_w,30,49,FS,UW1,wind,4,0.095,0.17,w,w,49,687.3,497.8335295,525.065789,634.3,530.9154512,538.3271618,524.6,484.2877071,503.823497,528.4,513.4540786,524.6652048,652.2,515.5815296,524.8453522,1813,1532.631926,1532.593434,1776.4,1741.51437,1683.595062,1311.4,1030.914889,1096.026229,1532.4,1214.78981,1232.61449,1926.7,1439.676368,1463.195319,2930.7,4242.012122,4126.235864,2958.7,4242.807386,4249.135204,3069.4,2540.863192,2563.667973,3157,3079.621928,3007.497509,2758.4,3144.025587,3093.500225,0,0.1025,0.1125,0.1325,0.1525,0.1625,0.095,0.115,0.135,0.155,0.175,0.10449,0.11449,0.13449,0.15449,0.16449,525.065789,538.3271618,503.823497,524.6652048,524.8453522,1532.631926,1741.51437,1096.026229,1232.61449,1463.195319,4126.235864,4242.807386,2563.667973,3079.621928,3093.500225,
030_49_child_FS_4_window_Test_71_w_4_w,30,49,FS,UW1,window,4,0.095,0.17,w,w,71,470.3,338.1936677,348.7759554,536.9,374.4217279,387.5785585,588,500.3233654,494.5322624,607.5,466.9093054,471.6759213,593.5,505.2139717,519.098292,1890.2,1023.155259,1048.410189,1313.4,1103.791719,1235.839105,1504.3,1297.528135,1273.72822,2077,1560.861728,1609.959603,2442.1,1995.502231,2020.804094,3131.5,2937.448254,4166.722491,2925.2,3374.051023,3873.918536,2592,4230.595375,4117.92503,2902.5,3853.854394,3885.153319,2903.8,3813.863826,3823.728497,0,0.1025,0.1125,0.1325,0.1525,0.1625,0.095,0.115,0.135,0.155,0.175,0.10449,0.11449,0.13449,0.15449,0.16449,348.7759554,387.5785585,500.3233654,471.6759213,519.098292,1048.410189,1235.839105,1297.528135,1609.959603,2020.804094,3131.5,3374.051023,4117.92503,3853.854394,3813.863826,
031_49_child_FS_4_rabbit_Test_77_r_4_r,31,49,FS,ER1,rabbit,4,0.095,0.17,r,r,77,592,526.5161729,541.8140594,658,547.660113,564.4356468,626.6,604.3709452,615.2394579,650.9,621.4240656,618.1405307,723.8,629.6112128,616.2124672,1827.5,2351.851002,2357.814594,1758.9,2351.246684,2350.123971,1822.5,1654.695311,2369.386253,2031.7,1874.034759,1963.273245,2157.2,2054.417043,2121.690884,2474.3,3875.04678,3896.355998,2384.1,3875.324105,3883.722814,2387,2345.243463,4041.812652,2449.5,2363.542896,2412.343191,2592.6,2374.359664,2453.55528,0,0.1025,0.1125,0.1325,0.1525,0.1625,0.095,0.115,0.135,0.155,0.175,0.10449,0.11449,0.13449,0.15449,0.16449,541.8140594,564.4356468,615.2394579,621.4240656,629.6112128,2351.851002,2350.123971,1822.5,1963.273245,2121.690884,3875.04678,3875.324105,2387,2412.343191,2453.55528,
