sound,word,test,ChildWordKey,tran,timeLab,f1,f2,f3,f3f2,ChildID
RealWordRep_002L51FS4,rabbit,Test76,002L51FS4Test76rabbit,$w:r,828.9811426,1186.530726,2085.6035,3813.141032,1727.537532,C002
RealWordRep_002L51FS4,web,Test85,002L51FS4Test85web,$other,864.4956146,1079.02681,2083.59555,3136.76026,1053.16471,C002
RealWordRep_002L51FS4,red,Test87,002L51FS4Test87red,$w:r,882.9603202,868.5900096,2362.713789,3851.316388,1488.602599,C002
RealWordRep_002L51FS4,wet,Test89,002L51FS4Test89wet,w,896.819429,799.7435978,1156.743478,3395.964261,2239.220783,C002
RealWordRep_002L51FS4,rock,Test90,002L51FS4Test90rock,$other,900.9432141,1124.16864,1525.055565,3595.275734,2070.22017,C002
RealWordRep_004L44FS3,rabbit,Test8,004L44FS3Test8rabbit,r,205.1317034,670.4043478,1183.19295,2882.773415,1699.580465,C004
RealWordRep_004L44FS3,rock,Test9,004L44FS3Test9rock,r,242.1351359,1368.528153,2613.629475,4356.443289,1742.813815,C004
RealWordRep_004L44FS3,red,Test10,004L44FS3Test10red,r,248.4094985,1801.30004,2727.918396,4409.948876,1682.03048,C004
RealWordRep_004L44FS3,wet,Test12,004L44FS3Test12wet,w,255.9729165,579.5129522,2574.595748,3692.833373,1118.237625,C004
RealWordRep_004L44FS3,web,Test14,004L44FS3Test14web,w,263.0999829,390.6516422,1996.259423,3760.441428,1764.182005,C004
RealWordRep_004L44FS3,running,Test17,004L44FS3Test17running,$w:r,280.6706325,1225.265394,2530.272227,4152.090637,1621.818411,C004
RealWordRep_004L44FS3,ring,Test18,004L44FS3Test18ring,r,289.1069892,393.3829331,1972.500749,3587.428911,1614.928162,C004
RealWordRep_004L44FS3,watch,Test20,004L44FS3Test20watch,w,296.8127735,388.0556283,2032.976046,3124.02914,1091.053094,C004
RealWordRep_004L44FS3,wheel,Test24,004L44FS3Test24wheel,w,324.2577462,1304.306317,2791.625009,4298.157635,1506.532626,C004
RealWordRep_004L44FS3,washer,Test26,004L44FS3Test26washer,$other,332.4948655,872.981221,2143.596112,4017.151581,1873.555469,C004
